Tool_Name	tool_homepage_url	Tool_Description	Center	PMID	Electronic_Location_Identifier	Article_Title	Article_Date	Abstract	Journal_Title	ISSN	CFDE_Grant	Grant_List	Citations	KeywordList	Readers_Count	Altmetric_Score	Facebook_Shares	Readers_in_Mendeley	Mentions_in_social_media	Twitter_accounts_that_tweeted_this_publication	Scientists_who_mentioned_the_publication_on_Twitter	Institution	Country	Article_Language	Topic	Last_Author	Author_Information	Publication_Type
Crowdsourcing Portal	http://www.maayanlab.net/crowdsourcing/	On this web-site you can submit your contributions to the microtasks and megatasks assignments listed on this site.	DCIC	[27667448.0]	10.1038/ncomms12846	Extraction and analysis of signatures from the Gene Expression Omnibus by the crowd		Gene expression data are accumulating exponentially in public repositories. Reanalysis and integration of themed collections from these studies may provide new insights, but requires further human curation. Here we report a crowdsourcing project to annotate and reanalyse a large number of gene expression profiles from Gene Expression Omnibus (GEO). Through a massive open online course on Coursera, over 70 participants from over 25 countries identify and annotate 2,460 single-gene perturbation signatures, 839 disease versus normal signatures, and 906 drug perturbation signatures. All these signatures are unique and are manually validated for quality. Global analysis of these signatures confirms known associations and identifies novel associations between genes, diseases and drugs. The manually curated signatures are used as a training set to develop classifiers for extracting similar signatures from the entire GEO repository. We develop a web portal to serve these signatures for query, download and visualization.	Nature communications	2041-1723			76.0		218.0	39.0	3.0	218.0		41.0								
cynetworkbrowser	https://cynetworkbrowser.umt.edu/	An interactive tool for generating and viewing protein interaction networks	DCIC	[]																								
Datasets2Tools	http://amp.pharm.mssm.edu/datasets2tools	Datasets2Tools repository and search engine for bioinformatics datasets tools and canned analyses	DCIC	[29485625.0]	10.1038/sdata.2018.23	Datasets2Tools repository and search engine for bioinformatics datasets tools and canned analyses.		Biomedical data repositories such as the Gene Expression Omnibus GEO enable the search and discovery of relevant biomedical digital data objects. Similarly resources such as OMICtools index bioinformatics tools that can extract knowledge from these digital data objects. However systematic access to pregenerated canned analyses applied by bioinformatics tools to biomedical digital data objects is currently not available. Datasets2Tools is a repository indexing 31473 canned bioinformatics analyses applied to 6431 datasets. The Datasets2Tools repository also contains the indexing of 4901 published bioinformatics software tools and all the analyzed datasets. Datasets2Tools enables users to rapidly find datasets tools and canned analyses through an intuitive web interface a Google Chrome extension and an API. Furthermore Datasets2Tools provides a platform for contributing canned analyses datasets and tools as well as evaluating these digital objects according to their compliance with the findable accessible interoperable and reusable FAIR principles. By incorporating community engagement Datasets2Tools promotes sharing of digital resources to stimulate the extraction of knowledge from biomedical research data. Datasets2Tools is freely available from http//amp.pharm.mssm.edu/datasets2tools.	Scientific data	2052-4463	HL127624	[{'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}, {'Agency': 'NIH HHS', 'Acronym': 'OD', 'Country': 'United States', 'GrantID': 'OT3 OD025467'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'T32 HL007824'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U54 CA189201'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U24 CA224260'}]	3.0		58.0	19.6		58.0		36.0	20.0	Icahn School of Medicine at Mount Sinai	UK	['eng']	[{'Topic': 'Disease study using gene expression', 'LDA_probability': 0.36}, {'Topic': 'Tools to perform sequence analysis', 'LDA_probability': 0.27}, {'Topic': 'Drugs and chemical studies', 'LDA_probability': 0.15}, {'Topic': 'Genome sequence databases', 'LDA_probability': 0.13}, {'Topic': 'Brain studies using images', 'LDA_probability': 0.08}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'Identifier': ['0000-0002-6904-1017'], 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}"	"[{'Name': 'Denis Torre', 'ForeName': 'Denis', 'Initials': 'D', 'LastName': 'Torre', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Patrycja Krawczuk', 'ForeName': 'Patrycja', 'Initials': 'P', 'LastName': 'Krawczuk', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Kathleen M Jagodnik', 'ForeName': 'Kathleen M', 'Initials': 'KM', 'LastName': 'Jagodnik', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Alexander Lachmann', 'ForeName': 'Alexander', 'Initials': 'A', 'LastName': 'Lachmann', 'Identifier': ['0000-0002-1982-7652'], 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Zichen Wang', 'ForeName': 'Zichen', 'Initials': 'Z', 'LastName': 'Wang', 'Identifier': ['0000-0002-1415-1286'], 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Lily Wang', 'ForeName': 'Lily', 'Initials': 'L', 'LastName': 'Wang', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Maxim V Kuleshov', 'ForeName': 'Maxim V', 'Initials': 'MV', 'LastName': 'Kuleshov', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'Identifier': ['0000-0002-6904-1017'], 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, BD2K-LINCS Data Coordination and Integration Center (DCIC), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}]"	['Journal Article', 'Research Support, N.I.H., Extramural']
Drug Gene Budger	http://DGB.cloud	An application for ranking drugs to modulate a specific gene based on transcriptomic signatures.	DCIC	[30169739.0]	10.1093/bioinformatics/bty763	Drug Gene Budger  DGB : an application for ranking drugs to modulate a specific gene based on transcriptomic signatures.		Mechanistic molecular studies in biomedical research often discover important genes that are aberrantly over- or under-expressed in disease. However  manipulating these genes in an attempt to improve the disease state is challenging. Herein  we reveal Drug Gene Budger  DGB   a web-based and mobile application developed to assist investigators in order to prioritize small molecules that are predicted to maximally influence the expression of their target gene of interest. With DGB  users can enter a gene symbol along with the wish to up-regulate or down-regulate its expression. The output of the application is a ranked list of small molecules that have been experimentally determined to produce the desired expression effect. The table includes log-transformed fold change  P-value and q-value for each small molecule  reporting the significance of differential expression as determined by the limma method. Relevant links are provided to further explore knowledge about the target gene  the small molecule and the source of evidence from which the relationship between the small molecule and the target gene was derived. The experimental data contained within DGB is compiled from signatures extracted from the LINCS L1000 dataset  the original Connectivity Map  CMap  dataset and the Gene Expression Omnibus  GEO . DGB also presents a specificity measure for a drug-gene connection based on the number of genes a drug modulates. DGB provides a useful preliminary technique for identifying small molecules that can target the expression of a single gene in human cells and tissues.    The application is freely available on the web at http://DGB.cloud and as a mobile phone application on iTunes https://itunes.apple.com/us/app/drug-gene-budger/id1243580241  mt=8 and Google Play https://play.google.com/store/apps/details  id=com.drgenebudger.    Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	CA224260	[{'Agency': 'NIH HHS', 'Acronym': 'OD', 'Country': 'United States', 'GrantID': 'OT3 OD025467'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'T32 HL007824'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U24 CA224260'}]	1.0		35.0	15.65						Department of Pharmacological Scis	USA	['eng']	[{'Topic': 'Tools to perform sequence analysis', 'Topic_number': '3', 'LDA_probability': 0.3097904501}, {'Topic': 'Protein structure', 'Topic_number': '6', 'LDA_probability': 0.1712750075}, {'Topic': 'Sequence-based prediction of DNA and RNA', 'Topic_number': '4', 'LDA_probability': 0.1463895008}, {'Topic': 'Brain studies using images', 'Topic_number': '9', 'LDA_probability': 0.1442294943}, {'Topic': 'Alignment algorithms and methods', 'Topic_number': '2', 'LDA_probability': 0.1024604724}, {'Topic': 'Disease study using gene expression', 'Topic_number': '5', 'LDA_probability': 0.0844492409}, {'Topic': 'Drugs and chemical studies', 'Topic_number': '8', 'LDA_probability': 0.0398616376}, {'Topic': 'Biological pathways and interactions', 'Topic_number': '7', 'LDA_probability': 0.0007721433}, {'Topic': 'Genome sequence databases', 'Topic_number': '1', 'LDA_probability': 0.000772053}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan""}"	"[{'Name': 'Zichen Wang', 'ForeName': 'Zichen', 'Initials': 'Z', 'LastName': 'Wang', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center, Knowledge Management Center for Illuminating the Druggable Genome, Mount Sinai Center for Bioinformatics, Icahn 10 School of Medicine at Mount Sinai, New York, NY, USA.'}]}, {'Name': 'Edward He', 'ForeName': 'Edward', 'Initials': 'E', 'LastName': 'He', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center, Knowledge Management Center for Illuminating the Druggable Genome, Mount Sinai Center for Bioinformatics, Icahn 10 School of Medicine at Mount Sinai, New York, NY, USA.'}]}, {'Name': 'Kevin Sani', 'ForeName': 'Kevin', 'Initials': 'K', 'LastName': 'Sani', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center, Knowledge Management Center for Illuminating the Druggable Genome, Mount Sinai Center for Bioinformatics, Icahn 10 School of Medicine at Mount Sinai, New York, NY, USA.'}]}, {'Name': 'Kathleen M Jagodnik', 'ForeName': 'Kathleen M', 'Initials': 'KM', 'LastName': 'Jagodnik', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center, Knowledge Management Center for Illuminating the Druggable Genome, Mount Sinai Center for Bioinformatics, Icahn 10 School of Medicine at Mount Sinai, New York, NY, USA.'}]}, {'Name': 'Moshe C Silverstein', 'ForeName': 'Moshe C', 'Initials': 'MC', 'LastName': 'Silverstein', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center, Knowledge Management Center for Illuminating the Druggable Genome, Mount Sinai Center for Bioinformatics, Icahn 10 School of Medicine at Mount Sinai, New York, NY, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center, Knowledge Management Center for Illuminating the Druggable Genome, Mount Sinai Center for Bioinformatics, Icahn 10 School of Medicine at Mount Sinai, New York, NY, USA.'}]}]"	['Journal Article', 'Research Support, N.I.H., Extramural']
Drug Pathway Browser	https://lincs.hms.harvard.edu/explore/pathway/	Interactive map of key signal transduction pathways and drug-target data	HMS LINCS	[22003129.0]	10.1073/pnas.1018854108	Subtype and pathway specific responses to anticancer compounds in breast cancer		Breast cancers are comprised of molecularly distinct subtypes that may respond differently to pathway-targeted therapies now under development. Collections of breast cancer cell lines mirror many of the molecular subtypes and pathways found in tumors, suggesting that treatment of cell lines with candidate therapeutic compounds can guide identification of associations between molecular subtypes, pathways, and drug response. In a test of 77 therapeutic compounds, nearly all drugs showed differential responses across these cell lines, and approximately one third showed subtype-, pathway-, and/or genomic aberration-specific responses. These observations suggest mechanisms of response and resistance and may inform efforts to develop molecular assays that predict clinical response.	PNAS	1091-6490			334.0		506.0	9.0		506.0		3.0								
Drug Response Browser	https://lincs.hms.harvard.edu/explore/10.1038-nchembio.1337/fallahi-sichani-2013/	Online tool for browsing breast cancer cell line drug dose-response data	HMS LINCS	[]																								
Drug/Cell-Line Browser	http://www.maayanlab.net/LINCS/DCB/	DCB provides interactive visualization of cancer cell-line viability data	DCIC	[25100688.0]	10.1093/bioinformatics/btu526	Drug/Cell-line Browser: interactive canvas visualization of cancer drug/cell-line viability assay datasets		Recently, several high profile studies collected cell viability data from panels of cancer cell lines treated with many drugs applied at different concentrations. Such drug sensitivity data for cancer cell lines provide suggestive treatments for different types and subtypes of cancer. Visualization of these datasets can reveal patterns that may not be obvious by examining the data without such efforts. Here we introduce Drug/Cell-line Browser (DCB), an online interactive HTML5 data visualization tool for interacting with three of the recently published datasets of cancer cell lines/drug-viability studies. DCB uses clustering and canvas visualization of the drugs and the cell lines, as well as a bar graph that summarizes drug effectiveness for the tissue of origin or the cancer subtypes for single or multiple drugs. DCB can help in understanding drug response patterns and prioritizing drug/cancer cell line interactions by tissue of origin or cancer subtype.	Bioinformatics (Oxford, England)	1460-2059			6.0		30.0	4.0	2.0	30.0		6.0								
DToxS Portal	https://martip03.u.hpc.mssm.edu/	Web portal to provide access to the DToxS Center's data, metadata and analyses	DToxS	[]																								
Enrichr	http://amp.pharm.mssm.edu/Enrichr	Interactive and collaborative HTML5 gene list enrichment analysis tool.	DCIC	[23586463.0]	10.1186/1471-2105-14-128	Enrichr interactive and collaborative HTML5 gene list enrichment analysis tool.		Systemwide profiling of genes and proteins in mammalian cells produce lists of differentially expressed genes/proteins that need to be further analyzed for their collective functions in order to extract new knowledge. Once unbiased lists of genes or proteins are generated from such experiments these lists are used as input for computing enrichment with existing lists created from prior knowledge organized into geneset libraries. While many enrichment analysis tools and geneset libraries databases have been developed there is still room for improvement. Here we present Enrichr an integrative webbased and mobile software application that includes new geneset libraries an alternative approach to rank enriched terms and various interactive visualization approaches to display enrichment results using the JavaScript library Data Driven Documents D3. The software can also be embedded into any tool that performs gene list analysis. We applied Enrichr to analyze nine cancer cell lines by comparing their enrichment signatures to the enrichment signatures of matched normal tissues. We observed a common pattern of up regulation of the polycomb group PRC2 and enrichment for the histone mark H3K27me3 in many cancer cell lines as well as alterations in Tolllike receptor and interlukin signaling in K562 cells when compared with normal myeloid CD33 cells. Such analyses provide global visualization of critical differences between normal tissues and cancer cell lines but can be applied to many other scenarios. Enrichr is an easy to use intuitive enrichment analysis webbased tool providing various types of visualization summaries of collective functions of gene lists. Enrichr is open source and freely available online at http//amp.pharm.mssm.edu/Enrichr.	BMC bioinformatics	1471-2105	HG006097	[{'Agency': 'NHGRI NIH HHS', 'Acronym': 'HG', 'Country': 'United States', 'GrantID': 'U54 HG006097'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'P50 GM071558'}, {'Agency': 'NIDDK NIH HHS', 'Acronym': 'DK', 'Country': 'United States', 'GrantID': 'R01 DK088541'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'R01 GM098316'}, {'Agency': 'NIDDK NIH HHS', 'Acronym': 'DK', 'Country': 'United States', 'GrantID': 'R01DK088541-01A1'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': '1R01GM098316-01A1'}, {'Agency': 'NHGRI NIH HHS', 'Acronym': 'HG', 'Country': 'United States', 'GrantID': 'U54HG006097-02S1'}, {'Agency': 'NIGMS NIH HHS', 'Acronym': 'GM', 'Country': 'United States', 'GrantID': 'P50GM071558'}]	1037.0		1229.0	20.108		1224.0	18.0	14.0	11.0	Icahn School of Medicine at Mount Sinai	USA	['eng']	[{'Topic': 'Biological pathways and interactions', 'LDA_probability': 0.38}, {'Topic': 'Protein structure', 'LDA_probability': 0.3}, {'Topic': 'Disease study using gene expression', 'LDA_probability': 0.14}, {'Topic': 'Tools to perform sequence analysis', 'LDA_probability': 0.1}, {'Topic': 'Drugs and chemical studies', 'LDA_probability': 0.04}, {'Topic': 'Sequence-based prediction of DNA and RNA', 'LDA_probability': 0.03}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan""}"	"[{'Name': 'Edward Y Chen', 'ForeName': 'Edward Y', 'Initials': 'EY', 'LastName': 'Chen', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacology and Systems Therapeutics, Icahn School of Medicine at Mount Sinai, One Gustave L, Levy Place, Box 1215, New York, NY 10029, USA.'}]}, {'Name': 'Christopher M Tan', 'ForeName': 'Christopher M', 'Initials': 'CM', 'LastName': 'Tan'}, {'Name': 'Yan Kou', 'ForeName': 'Yan', 'Initials': 'Y', 'LastName': 'Kou'}, {'Name': 'Qiaonan Duan', 'ForeName': 'Qiaonan', 'Initials': 'Q', 'LastName': 'Duan'}, {'Name': 'Zichen Wang', 'ForeName': 'Zichen', 'Initials': 'Z', 'LastName': 'Wang'}, {'Name': 'Gabriela Vaz Meirelles', 'ForeName': 'Gabriela Vaz', 'Initials': 'GV', 'LastName': 'Meirelles'}, {'Name': 'Neil R Clark', 'ForeName': 'Neil R', 'Initials': 'NR', 'LastName': 'Clark'}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan""}]"	['Journal Article', 'Research Support, N.I.H., Extramural']
EnrichrBot	https://twitter.com/botenrichr	Twitter bot tracking tweets about human genes.	DCIC	[32277816.0]	10.1093/bioinformatics/btaa240	EnrichrBot Twitter bot tracking tweets about human genes.		Microblogging with Twitter to communicate new results discuss ideas and share techniques is becoming central. While most Twitter users are real people the Twitter API provides the opportunity to develop Twitter bots and to analyze global trends in tweets. EnrichrBot is a bot that tracks and tweets information about human genes implementing six principal functions i tweeting information about understudied genes including noncoding lncRNAs ii replying to requests for information about genes iii responding to GWASbot another bot that tweets Manhattan plots from genomewide association study analysis of the UK Biobank iv tweeting randomly selected gene sets from the Enrichr database for analysis with Enrichr v responding to mentions of human genes in tweets with additional information about these genes and vi tweeting a weekly report about the most trending genes on Twitter. https//twitter.com/botenrichr source code https//github.com/MaayanLab/EnrichrBot. Supplementary data are available at Bioinformatics online.	Bioinformatics (Oxford, England)	1367-4811	CA224260	[{'Agency': 'NIH HHS', 'Acronym': 'OD', 'Country': 'United States', 'GrantID': 'OT3 OD025467'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U24 CA224260'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}]	0.0		0.0	6.7		0.0		15.0	6.0	Department of Pharmacological scis, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.	USA	['eng']	[{'Topic': 'Genome sequence databases', 'Topic_number': '1', 'LDA_probability': 0.1111111111}, {'Topic': 'Alignment algorithms and methods', 'Topic_number': '2', 'LDA_probability': 0.1111111111}, {'Topic': 'Tools to perform sequence analysis', 'Topic_number': '3', 'LDA_probability': 0.1111111111}, {'Topic': 'Sequence-based prediction of DNA and RNA', 'Topic_number': '4', 'LDA_probability': 0.1111111111}, {'Topic': 'Disease study using gene expression', 'Topic_number': '5', 'LDA_probability': 0.1111111111}, {'Topic': 'Protein structure', 'Topic_number': '6', 'LDA_probability': 0.1111111111}, {'Topic': 'Biological pathways and interactions', 'Topic_number': '7', 'LDA_probability': 0.1111111111}, {'Topic': 'Drugs and chemical studies', 'Topic_number': '8', 'LDA_probability': 0.1111111111}, {'Topic': 'Brain studies using images', 'Topic_number': '9', 'LDA_probability': 0.1111111111}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan""}"	"[{'Name': 'Alon Bartal', 'ForeName': 'Alon', 'Initials': 'A', 'LastName': 'Bartal', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Alexander Lachmann', 'ForeName': 'Alexander', 'Initials': 'A', 'LastName': 'Lachmann', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Daniel J B Clarke', 'ForeName': 'Daniel J B', 'Initials': 'DJB', 'LastName': 'Clarke', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Allison H Seiden', 'ForeName': 'Allison H', 'Initials': 'AH', 'LastName': 'Seiden', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Kathleen M Jagodnik', 'ForeName': 'Kathleen M', 'Initials': 'KM', 'LastName': 'Jagodnik', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}]"	['Journal Article']
